name,category,subcategory,craft_time_sec,output_qty,materials
鐵錠,材料,金屬,30,3,礦石:20
鐵錠,材料,金屬,30,3,鐵礦石:10
鋼錠,材料,金屬,5分,3,鐵錠:3;煤炭:4
合金鋼錠,材料,金屬,1小時20分,3,鋼錠:3;銅礦石:15;煤炭:8
特殊鋼錠,材料,金屬,4小時,3,合金鋼錠:4;白銅礦石:20;煤炭:12
銀合金錠,材料,金屬,5小時,3,特殊鋼錠:5;銀礦石:20;煤炭:16
木材,材料,木材,45,3,原木:10
木材+,材料,木材,6分,3,木材:3;樹液:4
高級木材,材料,木材,1小時20分,3,木材+:3;高級原木:15;樹液:8
高級木材+,材料,木材,4小時,3,高級木材:4;高級原木+:20;樹液:12
最高級木材,材料,木材,5小時,3,高級木材+:5;最高級原木:20;樹液:4
皮革,材料,皮革,30,3,生皮:10
皮革+,材料,皮革,5分,3,皮革:3;單寧粉末:4
高級皮革,材料,皮革,1小時20分,3,皮革+:3;高級生皮:15;單寧粉末:8
高級皮革+,材料,皮革,4小時,3,高級皮革:4;高級生皮+:20;單寧粉末:12
最高級皮革,材料,皮革,5小時,3,高級皮革+:5;最高級生皮:20;單寧粉末:16
布料,材料,布料,45,3,羊毛:10
布料+,材料,布料,6分,3,布料:3;羊毛:4
高級布料,材料,布料,1小時20分,3,布料+:3;高級羊毛:15;羊毛:8
高級布料+,材料,布料,4小時,3,高級布料:4;高級羊毛+:20;羊毛:12
最高級布料,材料,布料,5小時,3,高級布料+:5;最高級羊毛:20;羊毛:16
絲綢,材料,布料,1分30秒,2,蜘蛛網:10
高級絲綢,材料,布料,1小時50分,2,絲綢:4;壯壯蘑菇汁液:8
最高級絲綢,材料,布料,6小時,2,高級絲綢:4;最高級蜘蛛網:20;壯壯蘑菇汁液:16
新芽蘑菇孢子,材料,藥品,5分,15,新芽蘑菇:30;紙:3
新芽蘑菇汁液,材料,藥品,30,5,新芽蘑菇孢子:10;裝水的瓶子:1
壯壯蘑菇粉末,材料,藥品,2分30秒,5,壯壯蘑菇:20
壯壯蘑菇孢子,材料,藥品,5分,15,壯壯蘑菇:30;紙:3
壯壯蘑菇汁液,材料,藥品,5分,5,壯壯蘑菇孢子:10;裝水的瓶子:1
咻咻蘑菇孢子,材料,藥品,6分,15,咻咻蘑菇:30;紙:3
